Regex,Name
(Childish\sGambino|Donald\sGlover|Don\sGlover|Childish|Gambino|DGlover|@ItsGambino|@donaldglover),Childish Gambino
(Janelle\sMonae|Janelle|Monae|Janelle\sMonáe|@JanelleMonae),Janelle Monae
(the\s1975|1975|@the1975),the 1975
(DJ\sSnake|Snake|@djsnake),DJ Snake
(Diplo|@diplo),Diplo
(RÜFÜS\sDU\sSOL|Rufus\sDu\sSol|Rufus|Du\sSol|Sol|@RufusDuSol),RÜFÜS DU SOL
(BLACKPINK|BP|@blackpink),BLACKPINK
(Anderson\s.Paak\s&\sthe\sFree\sNationals|Anderson\sPaak|@AndersonPaak),Anderson .Paak & the Free Nationals
(Kacey\sMusgraves|Kacey|Musgraves|@KaceyMusgraves),Kacey Musgraves
(Juice\sWRLD|Juice|WRLD|Juice\sWorld|@JuiceWorlddd),Juice WRLD
(Ella\sMai|@ellamai),Ella Mai
(Los\sTucanes\sDe\sTijuana|Los\sTuscanes|Tuscanes|Tijuana|@LosTuscanesdeTJ),Los Tucanes De Tijuana
(FISHER|@followthefishtv),FISHER
(Jaden\sSmith|J\sSmith|Jaden|Smith|@officialjaden),Jaden Smith
(Nina\sKraviz|Nina|Kraviz|@NinaKraviz),Nina Kraviz
(Rosalía|Rosalia|@rosaliavt),Rosalía
(Gorgon\sCity|Goron|@gorgoncity),Gorgon City
(Mon\sLaferte|Laferte|@MonLaferteLA),Mon Laferte
(Khruangbin|@Khruangbin),Khruangbin
(Kayzo|@KayzoMusic),Kayzo
(dvsn|@dvsn),dvsn
(King\sPrincess|@kingprincess69),King Princess
(Chris\sLake|@chrislake),Chris Lake
(Jauz|@Jauzofficial),Jauz
(the\sInterrupters|Interrupters|@theInterrupters),the Interrupters
(Hot\sSince\s82|Hot\sSince|@hotsince82),Hot Since 82
(Charlotte\sGainsbourg|Charlotte|Gainsbourg|@cgainsbourg),Charlotte Gainsbourg
(SOPHIE|@SOPHIEMSMSMSM),SOPHIE
(Nicole\sMoudaber|Nicole|Moudaber|@NicoleMoudaber),Nicole Moudaber
(Tierra\sWhack|Tierra|Whack|@TierraWhack),Tierra Whack
(Polo\s&\sPan|Polo\sand\sPan|Polo&Pan|@polo_and_pan),Polo & Pan
(Beach\sFossils|@beachfossils),Beach Fossils
(Yellow\sDays|@george_vdb),Yellow Days
(the\sFrights|Frights|@TheFrights),the Frights
(Nora\sEn\sPure|Nora|@noraenpure),Nora En Pure
(Yves\sTumor|Yves|Tumor|@yvestumor),Yves Tumor
