,Childish Gambino,Janelle Monae,the 1975,DJ Snake,Diplo,RÜFÜS DU SOL,BLACKPINK,Anderson .Paak & the Free Nationals,Kacey Musgraves,Juice WRLD,Ella Mai,Los Tucanes De Tijuana,FISHER,Jaden Smith,Nina Kraviz,Rosalía,Gorgon City,Mon Laferte,Khruangbin,Kayzo,dvsn,King Princess,Chris Lake,Jauz,the Interrupters,Hot Since 82,Charlotte Gainsbourg,SOPHIE,Nicole Moudaber,Tierra Whack,Polo & Pan,Beach Fossils,Yellow Days,the Frights,Nora En Pure,Yves Tumor,SG Lewis,Kero Kero Bonito,JPEGMAFIA,Calypso Rose,Nic Fanciulli,Kölsch,CamelPhat,Let’s Eat Grandma,Anna Lunoe,Amelie Lens,Hurray for the Riff Raff,Walker & Royce,Turnstile,RAT BOY,88Glam,Ross From Friends,Lauren Lane,Still Woozy,Bakar,Blond;ish,Tomasa del Real,Las Robertas,Dave P.,Tame Impala,Solange,Kid Cudi,Weezer,Aphex Twin,J Balvin,Billie Eilish,Bassnectar,Four Tet,Christine and the Queens,Wiz Khalifa,Mac DeMarco,Bazzi,Maggie Rogers,Sheck Wes,Gryffin,Bob Moses,Virgil Abloh,Tale of Us,Mr Eazi,Sabrina Claudio,Ty Segall & White Fence,Deep Dish,Smino,FKJ,SiR,Idris Elba,Parcels,JAIN,Soulection,Turnover,SALES,Stephan Bodzin,CloZee,ARIZONA,Murda Beatz,Jambinai,Ame,CHON,Little Simz,Adriatique,Lee Burridge,the Garden,Agoria,Hop Along,shame,Superorganism,serpentwithfeet,Ookay,Steady Holiday,Javiera Mena,the Messthetics,the Red Pears,Heidi Lawden,Ariana Grande,Khalid,Zedd,Gesaffelstein,Bad Bunny,Dillon Francis,CHVRCHES,YG,Cirez D,Playboi Carti,H.E.R.,Blood Orange,Pusha T,Unknown Mortal Orchestra,Kaytranada,Gucci Gang,Jon Hopkins,SOFI TUKKER,Burna Boy,Lizzo,Dermot Kennedy,SOB X RBE,Clairo,NGHTMRE,Perfume,boy pablo,Guy Gerber,HYUKOH,Emily King,Dennis Lloyd,Alice Merton,Shallou,070 Shake,Soccer Mommy,Rico Nasty,Cola Boyy,Wallows,Mansionair,Nocturnal Sunshine,Dusky,Yotto,Patrice Bäumel,Easy Life,Jan Blomqvist,U.S. Girls,Iceage,Men I Trust,Charlotte de Witte,Social House,Ocho Ojos,Razorhumps,Tara Brooks
Childish Gambino,0.0,127.0,222.0,25.0,32.0,133.0,207.0,38.0,59.0,38.0,36.0,24.0,8.0,55.0,0.0,10.0,1.0,7.0,0.0,2.0,23.0,26.0,7.0,8.0,2.0,2.0,2.0,8.0,0.0,6.0,1.0,4.0,11.0,5.0,1.0,0.0,7.0,9.0,5.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,311.0,90.0,180.0,61.0,29.0,33.0,120.0,42.0,2.0,3.0,32.0,25.0,34.0,8.0,11.0,0.0,2.0,5.0,0.0,5.0,9.0,1.0,1.0,9.0,7.0,8.0,20.0,0.0,3.0,1.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,823.0,115.0,24.0,12.0,47.0,7.0,19.0,54.0,5.0,12.0,45.0,21.0,15.0,19.0,16.0,1.0,2.0,2.0,8.0,10.0,2.0,1.0,13.0,0.0,6.0,18.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Janelle Monae,127.0,0.0,97.0,10.0,9.0,114.0,123.0,11.0,68.0,4.0,25.0,3.0,1.0,19.0,0.0,9.0,3.0,2.0,1.0,0.0,8.0,33.0,1.0,0.0,1.0,1.0,2.0,22.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,102.0,19.0,34.0,6.0,16.0,31.0,0.0,2.0,4.0,34.0,5.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0,0.0,5.0,3.0,3.0,11.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,30.0,7.0,2.0,15.0,1.0,11.0,8.0,0.0,5.0,33.0,12.0,3.0,6.0,10.0,0.0,0.0,2.0,35.0,53.0,1.0,0.0,5.0,0.0,7.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,2.0,31.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
the 1975,222.0,97.0,0.0,25.0,30.0,81.0,351.0,18.0,130.0,26.0,26.0,16.0,0.0,34.0,0.0,9.0,2.0,8.0,1.0,0.0,9.0,83.0,1.0,4.0,4.0,2.0,0.0,10.0,0.0,5.0,0.0,18.0,14.0,13.0,1.0,0.0,4.0,7.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,208.0,44.0,69.0,59.0,6.0,49.0,197.0,2.0,0.0,3.0,5.0,50.0,55.0,22.0,4.0,3.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,14.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,386.0,138.0,23.0,1.0,58.0,5.0,36.0,32.0,0.0,12.0,37.0,26.0,2.0,11.0,3.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,35.0,0.0,0.0,37.0,0.0,21.0,0.0,1.0,0.0,1.0,4.0,9.0,3.0,0.0,19.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
DJ Snake,25.0,10.0,25.0,0.0,61.0,17.0,71.0,5.0,1.0,9.0,9.0,2.0,5.0,9.0,1.0,2.0,2.0,2.0,0.0,7.0,3.0,3.0,6.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,23.0,4.0,1.0,25.0,14.0,3.0,0.0,1.0,11.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,27.0,9.0,22.0,15.0,1.0,24.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplo,32.0,9.0,30.0,61.0,0.0,31.0,30.0,3.0,2.0,8.0,6.0,5.0,4.0,7.0,1.0,2.0,4.0,0.0,0.0,8.0,3.0,3.0,3.0,8.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,23.0,8.0,6.0,26.0,13.0,11.0,1.0,0.0,10.0,1.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0,28.0,3.0,24.0,21.0,1.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RÜFÜS DU SOL,133.0,114.0,81.0,17.0,31.0,0.0,140.0,13.0,43.0,14.0,21.0,16.0,15.0,17.0,4.0,10.0,11.0,6.0,3.0,3.0,14.0,15.0,11.0,2.0,0.0,10.0,3.0,18.0,5.0,11.0,1.0,3.0,2.0,0.0,5.0,0.0,8.0,2.0,0.0,16.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,552.0,100.0,23.0,21.0,26.0,59.0,14.0,5.0,4.0,19.0,16.0,9.0,5.0,6.0,5.0,10.0,2.0,2.0,9.0,14.0,0.0,4.0,13.0,5.0,11.0,17.0,3.0,0.0,3.0,6.0,7.0,1.0,3.0,4.0,2.0,0.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,260.0,43.0,16.0,9.0,33.0,8.0,16.0,61.0,7.0,8.0,39.0,30.0,8.0,9.0,14.0,25.0,1.0,2.0,27.0,18.0,2.0,1.0,4.0,2.0,7.0,5.0,1.0,6.0,3.0,0.0,1.0,2.0,1.0,4.0,17.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
BLACKPINK,207.0,123.0,351.0,71.0,30.0,140.0,0.0,13.0,97.0,19.0,32.0,82.0,1.0,40.0,4.0,33.0,0.0,19.0,0.0,6.0,9.0,41.0,0.0,3.0,1.0,1.0,3.0,38.0,4.0,5.0,0.0,8.0,2.0,4.0,2.0,2.0,5.0,42.0,3.0,35.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,113.0,52.0,19.0,24.0,11.0,45.0,205.0,5.0,0.0,3.0,10.0,13.0,35.0,4.0,6.0,1.0,0.0,4.0,0.0,9.0,11.0,0.0,0.0,0.0,11.0,11.0,28.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,7.0,0.0,8.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1416.0,87.0,34.0,8.0,111.0,5.0,17.0,739.0,0.0,7.0,39.0,12.0,2.0,18.0,4.0,2.0,2.0,2.0,28.0,15.0,0.0,1.0,10.0,2.0,203.0,17.0,0.0,614.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Anderson .Paak & the Free Nationals,38.0,11.0,18.0,5.0,3.0,13.0,13.0,0.0,10.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,17.0,7.0,2.0,2.0,6.0,0.0,1.0,0.0,5.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,2.0,1.0,3.0,0.0,1.0,7.0,1.0,4.0,5.0,2.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kacey Musgraves,59.0,68.0,130.0,1.0,2.0,43.0,97.0,10.0,0.0,3.0,12.0,8.0,0.0,5.0,0.0,8.0,1.0,2.0,1.0,0.0,2.0,56.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,31.0,10.0,19.0,3.0,13.0,53.0,1.0,0.0,3.0,3.0,4.0,12.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,30.0,8.0,1.0,13.0,0.0,8.0,12.0,0.0,5.0,16.0,7.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,13.0,1.0,0.0,6.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juice WRLD,38.0,4.0,26.0,9.0,8.0,14.0,19.0,6.0,3.0,0.0,9.0,4.0,3.0,23.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,26.0,8.0,2.0,8.0,34.0,4.0,0.0,0.0,12.0,6.0,8.0,2.0,13.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,6.0,0.0,11.0,0.0,3.0,12.0,0.0,11.0,4.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
